date	close
1-Apr-07	14
2-Apr-07	67
3-Apr-07	16
4-Apr-07	16
5-Apr-07	25
10-Apr-07	00
15-Apr-07	17
20-Apr-07	9
25-Apr-07	49
30-Apr-07	17
